scenario,channel,tdc,fdc,pcs
Single-qubit pi (1q) (run 291),global,,,10.696107
Single-qubit pi (1q) (run 291),pulse_channel_1,1.370282,17.298470,9.334376
Single-qubit pi (1q) (run 291),pulse_channel_2,1.721694,22.791287,12.256491
