gen,nevals,avg,std,min,max,diversity
0,100,0.26316140011996103,0.006241349290838645,0.25059566688720314,0.28367979246241104,2.8596868490156377
1,46,0.2656964224957197,0.008153107884275358,0.24514541210136104,0.2935873414721496,3.823826831186785
2,65,0.26549044013615214,0.010149523627733423,0.2493606380118738,0.2935873414721496,3.7737059203680094
3,60,0.26679435849030186,0.010600195414482332,0.24668996258001322,0.2935873414721496,4.166957726541539
4,51,0.26890794538157275,0.012513128028211041,0.2510890871007,0.2935873414721496,3.8374706109007364
5,55,0.27130498640887707,0.012301322969701675,0.25178285879502255,0.2935873414721496,4.101529770793553
6,62,0.2718164981038395,0.013747208425556217,0.25212141845779695,0.3055099102120044,3.8062565353240556
7,52,0.2760839532997864,0.01475642923261906,0.24820781664990457,0.3055099102120044,4.131600699658997
8,56,0.27516966275467913,0.016804908290800714,0.2507912923657995,0.3055099102120044,3.835984294393262
9,57,0.275845263684967,0.01813129329492014,0.24836018808749374,0.3055099102120044,3.940479028065662
10,62,0.2771935002651922,0.017736411942053984,0.24927323402965829,0.3096886883772198,4.284745071676631
11,58,0.27731347522642447,0.017668913290808257,0.24739667166677604,0.3096886883772198,3.9491019143925064
12,58,0.2766118018612622,0.018241477991698146,0.2483913636573998,0.3114106801377024,4.095112239481641
13,58,0.2810565667614925,0.02251078897649066,0.2487693591669132,0.3565564870092652,4.358397007812748
14,73,0.27770032763702907,0.02349556425881525,0.22367520952412726,0.3565564870092652,4.568609067344379
15,53,0.28091471123127987,0.026457620062439822,0.22131565822189617,0.3565564870092652,4.4069439814368545
16,70,0.28430368034811665,0.042693701806620965,0.2063368880729606,0.47553420409736125,4.768706107334697
17,73,0.27342688834134665,0.028940128171533994,0.17350016553193823,0.3565564870092652,4.773489257904699
18,65,0.282774931894306,0.02885590633418006,0.21715656605501266,0.3565564870092652,4.534712038238688
19,49,0.2956120894914157,0.03958943951720657,0.21465913907302628,0.42545043233237395,4.673996309472535
20,51,0.3036649034470982,0.04490582024200652,0.22265363480410832,0.42545043233237395,4.269622722330372
21,50,0.31442412505521383,0.05310634380149904,0.19030487638271232,0.42545043233237395,4.39543232138313
22,54,0.3213178480596028,0.05753422664864529,0.21901196436850637,0.42545043233237395,4.155095284402235
23,50,0.322066204339851,0.06476816395475675,0.21164042530454696,0.42545043233237395,3.966868933218508
24,48,0.33217681730563386,0.0717044637719763,0.1429638696484594,0.42545043233237395,3.5042462044007396
25,53,0.332545351188873,0.07485890550827548,0.2150181520871546,0.42545043233237395,3.658912000490894
26,53,0.3322391100961773,0.07794880815752223,0.20489834294601053,0.42545043233237395,2.9970061875088647
27,52,0.3418885636527581,0.07658659604608538,0.22109201169563666,0.42545043233237395,3.056479699203904
28,56,0.33771547174372835,0.07371170848176521,0.22076016528360826,0.43609386461180405,3.0283331481589206
29,54,0.33551517408260007,0.07070204392879138,0.22265224900366373,0.43609386461180405,2.9852225743747076
30,40,0.3556960261226677,0.07539762669883372,0.21843475191083256,0.43609386461180405,2.9371190367964823
31,49,0.3463900245454674,0.08261770275707467,0.16029743943308816,0.45072143356578637,2.7963259375529157
32,49,0.34475285275970885,0.07786851468355302,0.21478380009124357,0.45072143356578637,2.872101788664238
33,42,0.35717023993633135,0.08010127365100381,0.22042870286021762,0.45072143356578637,3.1034009804316667
34,54,0.3462226181544637,0.08132990161403093,0.22760495402442016,0.45072143356578637,3.1954998118958096
35,54,0.3458229586357614,0.08677315980042472,0.21008190138698288,0.45072143356578637,2.77854189299056
36,33,0.3821711175465623,0.07990032956020571,0.2152285408906517,0.45072143356578637,1.9865113431785986
37,39,0.3690907903536739,0.0876854133077475,0.13856025472578629,0.45072143356578637,2.6242086237427964
38,47,0.3648017491521091,0.08836964560201227,0.22868217936276733,0.45072143356578637,2.189746363510417
39,47,0.35643638493922536,0.08919853731073824,0.21087939973347428,0.45072143356578637,1.8804231519831272
40,46,0.3556580410783078,0.08704645290115559,0.2259032642543875,0.45072143356578637,1.3752718736871103
41,49,0.29570623473085444,0.04916943475309561,0.21814623044489503,0.4332644845344992,4.9302378463624645
42,44,0.31575033769454264,0.0562070554766447,0.2216659909259463,0.4332644845344992,4.595712475394047
43,42,0.3296524093677215,0.06434246410642243,0.20233258408607785,0.4332644845344992,4.608053346811998
44,32,0.3544796327561848,0.06790918228919993,0.2190500119732696,0.4332644845344992,4.2864634241842685
45,46,0.34493189621170195,0.07500941398331344,0.2041243988515142,0.4332644845344992,3.719531719147487
46,43,0.3599402532247833,0.0698330873199539,0.21339922747385326,0.4332644845344992,3.7024936543094555
47,36,0.3734816180792206,0.07483575382170259,0.22956514161305352,0.4332644845344992,2.6008745719653557
48,32,0.3812497368519631,0.07230542569360136,0.21611997148625847,0.4332644845344992,2.749544500018507
49,48,0.3571005004928618,0.08188424385083838,0.1734888124426978,0.4332644845344992,2.9173072621508642
50,42,0.35648538814611924,0.08453689858358514,0.13737936580715748,0.4332644845344992,2.332852315046044
51,54,0.3344317366235661,0.08391824075981309,0.19627649930840654,0.4332644845344992,1.9066296478990545
52,51,0.33166769370182914,0.08477938258596888,0.1288506605306011,0.4562156403983126,2.8705350466204056
53,50,0.3352800327304144,0.08404190146933632,0.14821486978237114,0.4562156403983126,2.9549642611841542
