scenario,channel,tdc,fdc,pcs
Single-qubit pi (1q) (run 4),global,,,41.499118
Single-qubit pi (1q) (run 4),pulse_channel_1,5.259790,84.748448,45.004119
Single-qubit pi (1q) (run 4),pulse_channel_2,7.900644,68.633540,38.267092
