scenario,channel,tdc,fdc,pcs
GHZ (3q) (run 215),global,,,20.277747
GHZ (3q) (run 215),pulse_channel_1,3.580260,44.337104,23.958682
GHZ (3q) (run 215),pulse_channel_2,2.878567,40.367154,21.622861
GHZ (3q) (run 215),pulse_channel_3,3.033331,31.504065,17.268698
GHZ (3q) (run 215),pulse_channel_4,1.726902,32.814894,17.270898
GHZ (3q) (run 215),pulse_channel_5,2.290051,38.693630,20.491841
GHZ (3q) (run 215),pulse_channel_6,3.068439,46.836254,24.952347
GHZ (3q) (run 215),pulse_channel_7,2.489786,34.989799,18.739793
GHZ (3q) (run 215),pulse_channel_8,2.573706,36.043405,19.308556
