scenario,channel,tdc,fdc,pcs
Single-qubit pi (1q) (run 263),global,,,20.106890
Single-qubit pi (1q) (run 263),pulse_channel_1,3.562775,40.726575,22.144675
Single-qubit pi (1q) (run 263),pulse_channel_2,1.818146,34.695103,18.256625
