gen,nevals,avg,std,min,max,diversity
0,100,0.2548057308591169,0.0030035638365768537,0.2479320088881099,0.26457479369528836,2.8973229242689453
1,72,0.2553124666549534,0.003498516459946276,0.24829214659408244,0.2675369152061552,3.7092006562971593
2,54,0.2569319667708697,0.004227053207936584,0.24636124522690905,0.2675369152061552,3.9044024767031056
3,62,0.2571914460022805,0.004575851155170782,0.24871819709913087,0.26832154353664583,4.145595303604917
4,63,0.25788233448205927,0.005344830775625212,0.24629272292042603,0.27786339746788646,3.9477605864902183
5,65,0.2594769238407515,0.007109668231063465,0.2467668278204321,0.2875914419253851,4.653346926198729
6,69,0.26156896359572657,0.009111152703051637,0.24906366011141773,0.29011699662241913,4.684589939367754
7,68,0.2648971250840218,0.010048975292096286,0.24956200784640267,0.2915302061379729,4.561321470270667
8,58,0.2711647812233321,0.01248411038323263,0.2505094504645104,0.3240387022577802,4.419214605400149
9,58,0.27782466022454544,0.017328484729768275,0.2453252906831805,0.3412688177482002,4.349998554961939
10,66,0.28667148105098345,0.025869296559787293,0.24943672286829285,0.3697669211307722,4.665901020019068
11,60,0.30529517128111433,0.03503938908162025,0.24716017107910052,0.376046182053104,4.593171041313663
12,62,0.3291952281761262,0.033928823274956145,0.25484028975016015,0.38613165620908746,4.6140629442119065
13,61,0.3468026996594577,0.03533757836738106,0.2502990671348814,0.38722744691712446,4.703020936029032
14,55,0.3568808343346086,0.03386875148512854,0.2558884649621796,0.38722744691712446,4.72540632055759
15,63,0.36700579291632024,0.027437538736444052,0.25903357647494313,0.41069445554847656,4.532499672344464
16,52,0.3714387691044713,0.03660202213404186,0.2550376515613862,0.48528802524834824,4.527471089140402
17,63,0.38268944132781757,0.0492936546888709,0.25005275161074964,0.538086777061201,4.435643620209212
18,63,0.41161694846154634,0.0695869355420027,0.24939237631588745,0.538086777061201,4.74109965949577
19,55,0.45524204633488374,0.08724135912477368,0.2524805952831338,0.5811754017421431,4.5184282833239235
20,58,0.5019105427420836,0.06616585959260372,0.25218401471092705,0.5928142508559766,4.263579561457782
21,56,0.5157643711255722,0.0819310341436964,0.2529093155588977,0.5928142508559766,4.262070275226099
22,63,0.5421627180392253,0.08462486422805457,0.2517835858109595,0.5931455875023646,4.18898665569931
23,49,0.5647104004373293,0.07022877413491035,0.2522816626612356,0.6048816650620226,3.990527908245489
24,53,0.5672056119703632,0.06971270500004331,0.253398103534998,0.6048816650620226,3.953587464021936
25,45,0.5725173978355487,0.0698718864271246,0.25319627583538895,0.6049870682339505,3.9047265362677157
