scenario,channel,tdc,fdc,pcs
GHZ (3q) (run 157),global,,,24.867793
GHZ (3q) (run 157),pulse_channel_1,3.635716,54.725764,29.180740
GHZ (3q) (run 157),pulse_channel_2,4.414888,58.960258,31.687573
GHZ (3q) (run 157),pulse_channel_3,3.278516,46.078870,24.678693
GHZ (3q) (run 157),pulse_channel_4,3.220800,44.880846,24.050823
GHZ (3q) (run 157),pulse_channel_5,3.431672,56.352655,29.892163
GHZ (3q) (run 157),pulse_channel_6,3.694561,39.379431,21.536996
GHZ (3q) (run 157),pulse_channel_7,3.769220,34.259777,19.014499
GHZ (3q) (run 157),pulse_channel_8,3.570581,39.966901,21.768741
