scenario,channel,tdc,fdc,pcs
GHZ (3q) (run 295),global,,,18.395686
GHZ (3q) (run 295),pulse_channel_1,2.409939,34.334321,18.372130
GHZ (3q) (run 295),pulse_channel_2,2.250693,27.387980,14.819337
GHZ (3q) (run 295),pulse_channel_3,3.386338,36.424423,19.905380
GHZ (3q) (run 295),pulse_channel_4,2.543939,32.852886,17.698413
GHZ (3q) (run 295),pulse_channel_5,3.266366,39.569055,21.417711
GHZ (3q) (run 295),pulse_channel_6,2.585258,41.475902,22.030580
GHZ (3q) (run 295),pulse_channel_7,2.191001,30.739363,16.465182
GHZ (3q) (run 295),pulse_channel_8,2.894644,32.301845,17.598245
