scenario,channel,tdc,fdc,pcs
GHZ (3q) (run 384),global,,,12.556667
GHZ (3q) (run 384),pulse_channel_1,2.063836,20.201533,11.132685
GHZ (3q) (run 384),pulse_channel_2,2.500316,29.567047,16.033682
GHZ (3q) (run 384),pulse_channel_3,2.249978,25.459085,13.854532
GHZ (3q) (run 384),pulse_channel_4,1.912980,16.645000,9.278990
GHZ (3q) (run 384),pulse_channel_5,2.117968,18.116259,10.117113
GHZ (3q) (run 384),pulse_channel_6,2.250941,24.906571,13.578756
GHZ (3q) (run 384),pulse_channel_7,2.430552,25.024628,13.727590
GHZ (3q) (run 384),pulse_channel_8,2.015297,26.546690,14.280993
