gen,nevals,avg,std,min,max
0,100,0.34811907870159997,0.027243013741794428,0.21271034099682612,0.3799028369844997
1,73,0.36127145840707375,0.010316109587021118,0.30723548802281003,0.383796969562793
2,67,0.36387509607232515,0.01260872234618274,0.3231569677033372,0.40743434502577786
3,58,0.36457048508061013,0.019767762767459944,0.2580929376231078,0.40743434502577786
4,66,0.36675079272196554,0.017472953167732157,0.2938090878284201,0.40743434502577786
5,63,0.36986143089444146,0.015305910122898066,0.3364961599606007,0.40743434502577786
6,61,0.3704116827557704,0.016689027431285565,0.33019071105953673,0.40743434502577786
7,64,0.3670763998833095,0.023307910621376254,0.19978247125136828,0.40743434502577786
8,50,0.3726139884914612,0.018101986067054425,0.3281264941220103,0.40743434502577786
9,63,0.37013161863813626,0.02068061113735961,0.3350822837903201,0.4215942469047396
10,59,0.37157212659051614,0.02235075737750339,0.3105395657072893,0.4215942469047396
11,48,0.3761192673910059,0.023747975967235213,0.314378341339648,0.4215942469047396
12,55,0.3736466198874824,0.0342560548458277,0.19296791998810578,0.4215942469047396
13,62,0.374196929109163,0.03499387813608024,0.173930046048683,0.4215942469047396
14,69,0.37176180556027355,0.03847873036196413,0.18482388849782896,0.45923001130449376
15,62,0.3770902664621195,0.0303073755468267,0.31968076006935797,0.45923001130449376
16,69,0.37737165277393236,0.034259346968333104,0.29636772288674934,0.4622567901117512
17,65,0.3787332643999833,0.03432936705310893,0.29472565163391223,0.47375304135208707
18,64,0.38128154377139967,0.03652988327228625,0.31067164906091016,0.47375304135208707
19,54,0.3874198585010745,0.04093201936276645,0.3084343309031421,0.47790457369344014
20,55,0.39427871973987794,0.04343657755386624,0.30821921228301463,0.47790457369344014
21,50,0.39505307770852377,0.04444530541807321,0.31129950934202844,0.4971039840486906
22,49,0.3997019433690206,0.05129498908894092,0.24741397120605457,0.4971039840486906
23,48,0.4077178252713833,0.053139757888471854,0.23650655144794994,0.4971039840486906
24,43,0.4132535275551692,0.05373484729665253,0.3266047092777731,0.4971039840486906
