scenario,channel,tdc,fdc,pcs
Bell (2q) (run 65),global,,,37.511933
Bell (2q) (run 65),pulse_channel_1,6.592998,73.056892,39.824945
Bell (2q) (run 65),pulse_channel_2,5.592478,65.094677,35.343578
Bell (2q) (run 65),pulse_channel_3,5.879520,49.532404,27.705962
Bell (2q) (run 65),pulse_channel_4,6.307090,83.799220,45.053155
Bell (2q) (run 65),pulse_channel_5,6.740377,77.809522,42.274949
