scenario,channel,tdc,fdc,pcs
GHZ (3q) (run 73),global,,,25.734219
GHZ (3q) (run 73),pulse_channel_1,2.974730,47.188170,25.081450
GHZ (3q) (run 73),pulse_channel_2,4.072037,50.865836,27.468936
GHZ (3q) (run 73),pulse_channel_3,3.133216,45.294669,24.213943
GHZ (3q) (run 73),pulse_channel_4,3.072639,49.135481,26.104060
GHZ (3q) (run 73),pulse_channel_5,3.910764,52.292947,28.101856
GHZ (3q) (run 73),pulse_channel_6,2.411924,50.809810,26.610867
GHZ (3q) (run 73),pulse_channel_7,3.728476,44.191772,23.960124
GHZ (3q) (run 73),pulse_channel_8,3.641798,45.660461,24.651130
