gen,nevals,avg,std,min,max,diversity
0,30,0.24941127139517738,0.006117189817775126,0.23742933499192195,0.26314940140755944,1.3878764326167816
1,18,0.2873796948647085,0.05614710056671636,0.2384250963683959,0.46291238740460616,3.147944999527821
2,20,0.3261508285356089,0.07299711544015931,0.24750719844743832,0.4806388330153862,3.053051445436052
3,18,0.37621221229299606,0.08361701874854773,0.24732067542707675,0.5095109779198979,2.987839044802291
4,17,0.43672076216942063,0.07306330951388618,0.24543469448900204,0.5376674574295603,2.3429141613558526
5,22,0.4417663233694716,0.08839592511345969,0.23779990734906442,0.5376674574295603,2.5508311938730848
6,24,0.47777889206056234,0.08322964895830763,0.25024646633099734,0.5430791946908727,2.698546444489722
7,21,0.446981229593251,0.10259423900356164,0.23375614340260378,0.5401699260043638,2.613372967874833
8,22,0.49048333641847053,0.0932748548924322,0.24040944015014146,0.5415307282296105,2.0831089327618777
9,18,0.4929475363110979,0.10043702124115393,0.2474748618482596,0.5415307282296105,2.1762933556440682
10,13,0.5106770818915799,0.0744900758378946,0.24728596612808398,0.5422046748116455,1.073678083723296
11,17,0.40586544691073617,0.1120078490773761,0.2342256313893431,0.544459792125852,3.1381942437252492
12,18,0.46485135051700044,0.09257395402309146,0.24754979270076002,0.544459792125852,2.949744146465403
13,25,0.5006825058178873,0.05279388269248394,0.3702478701369514,0.5430565365027752,2.847101469444253
14,16,0.4776793768965651,0.10598997828801457,0.23524886805457074,0.5439135827444519,2.6663094871074113
15,17,0.5007941597846484,0.09012601289535468,0.2467499910273125,0.544100322448708,2.3031942349355434
16,16,0.49997996118102955,0.09411799107821789,0.2371513557191441,0.5471123067328738,2.271820436115554
17,18,0.5226559325497554,0.057938464012466176,0.2916974397018725,0.5556558826224983,2.0746426557973994
18,20,0.47712840536206236,0.11235613231574376,0.24342370179874367,0.5581306636935165,2.8221341227032046
19,21,0.5192388645339315,0.06816825012819794,0.2785225313136267,0.5676713280467596,2.416098206805638
