scenario,channel,tdc,fdc,pcs
Single-qubit pi (1q) (run 169),global,,,7.344806
Single-qubit pi (1q) (run 169),pulse_channel_1,0.000000,14.355397,7.177698
Single-qubit pi (1q) (run 169),pulse_channel_2,0.000000,15.031607,7.515804
