gen,nevals,avg,std,min,max,diversity
0,50,0.26020174114215955,0.0066386034946433,0.23894066394035188,0.27361771832655807,2.212221584169645
1,34,0.2616949184610115,0.005703318926693501,0.2518396915927936,0.27361771832655807,2.6925734885783466
2,28,0.26307371846032146,0.006064421038792869,0.24783638378654474,0.27361771832655807,2.976984135914707
3,22,0.265025577137735,0.005369327154734482,0.24996857294918906,0.27361771832655807,2.844572511549232
4,33,0.26379924871567956,0.006378363450919912,0.24784773140734362,0.27361771832655807,2.880392332828435
5,32,0.26518425121846684,0.005982739707801155,0.24855782879439625,0.27361771832655807,2.7696480340158582
6,21,0.2663038335777826,0.006966216466453185,0.24197080211057315,0.2738514627469531,2.9110785858600496
7,32,0.2660355899796778,0.0067228119943637445,0.2503297669690032,0.2738514627469531,2.826324740455236
8,29,0.2652882867361458,0.0069871147907669675,0.25044242752029916,0.2738514627469531,2.6810314177451184
9,29,0.26628584292241286,0.007256888853668075,0.24601014020718015,0.2760933936382811,2.7350370888259863
10,30,0.2664702275423664,0.006593081968055923,0.2511469667799124,0.2760933936382811,2.8562168419004936
11,29,0.2665925181249965,0.0070406751497271965,0.2516924714950051,0.27642433493394386,2.822193937760535
12,33,0.26525218934093164,0.008531643290151643,0.252011300067197,0.28126955024046696,2.7933584905804905
13,23,0.2693451385035287,0.008254832093433969,0.251551884349551,0.28126955024046696,2.443045589310969
14,28,0.26700688253967036,0.009922868208690797,0.23796163144416094,0.28126955024046696,2.3468311172739242
