scenario,channel,tdc,fdc,pcs
GHZ (3q) (run 443),global,,,17.511414
GHZ (3q) (run 443),pulse_channel_1,2.277078,26.325833,14.301456
GHZ (3q) (run 443),pulse_channel_2,2.498589,29.934344,16.216466
GHZ (3q) (run 443),pulse_channel_3,2.178650,37.984006,20.081328
GHZ (3q) (run 443),pulse_channel_4,2.645597,28.155318,15.400458
GHZ (3q) (run 443),pulse_channel_5,2.364272,40.352790,21.358531
GHZ (3q) (run 443),pulse_channel_6,2.348646,34.237809,18.293228
GHZ (3q) (run 443),pulse_channel_7,2.263503,30.938012,16.600757
GHZ (3q) (run 443),pulse_channel_8,2.813913,35.200445,19.007179
