gen,nevals,avg,std,min,max,diversity
0,100,0.25278069924895413,0.0019710757738842224,0.24312759261259073,0.2577977126504246,2.3311649096846665
1,59,0.2532788998392554,0.002034429257877057,0.24750483221055855,0.2577977126504246,3.2888901106063324
2,51,0.2537734024839947,0.0019540566112313563,0.24778485662809316,0.2577977126504246,3.915522624667232
3,58,0.2543768405528491,0.0034507381599966835,0.24850460465783566,0.2738841694999464,3.9038260499812396
4,61,0.25409533001105983,0.004068741627156897,0.2334985233350698,0.2738841694999464,3.0571340708907164
5,67,0.25382604200424197,0.002972846184662643,0.23525158042421201,0.2577977126504246,4.06656745689384
6,59,0.2540754705661917,0.00225787292969814,0.24951250058589272,0.2577977126504246,4.2487297088551825
7,58,0.25422057557245964,0.0029846084710920913,0.24135274566444415,0.2654576433160846,4.340599248970927
8,74,0.2537843672832939,0.004160665366682043,0.2300525346866499,0.2654576433160846,4.422703393827217
9,59,0.2550054847329519,0.004708651006687218,0.2472279600768815,0.27714596548066806,4.531252575284309
10,59,0.25477179800067545,0.005341413431511165,0.23572589912031305,0.2654576433160846,4.733506822733804
11,59,0.25539835055355437,0.007394719212233609,0.22861242016405378,0.27613704403344563,4.686029852673539
12,55,0.2560747795873101,0.010383834478770892,0.2200534043097018,0.2869895274448673,4.667314386900946
13,58,0.25652682213980443,0.011146750870989217,0.2104374896881982,0.2869895274448673,4.633747340453957
14,64,0.256277678473901,0.011850134044653115,0.22182331798660013,0.2869895274448673,4.757784129545358
15,44,0.2600686322692992,0.015123359368708253,0.16638936969754325,0.2869895274448673,4.783377853125143
16,66,0.2574699504172107,0.014337376413386865,0.21753184642099432,0.2869895274448673,4.761729322734547
17,66,0.2560871879775112,0.015414843815553053,0.22678955670331283,0.28825646684632245,4.582878406924546
18,68,0.2580433077289795,0.01751726367483861,0.21259025417111313,0.3197233758358411,4.81708656927784
19,71,0.2565901951482296,0.021040576327007454,0.1532206246621137,0.3197233758358411,4.814470157062792
20,67,0.2583635173183609,0.01672499844361131,0.2299327835098058,0.3197233758358411,4.9274293949366195
21,66,0.2604789317900591,0.02086280434302584,0.19844902233214495,0.3197233758358411,4.912730444703245
22,60,0.2626371857266664,0.025701804001984335,0.16893526194181666,0.3197233758358411,4.956404677235842
23,72,0.25903186255444427,0.019745387869248555,0.22317090183951432,0.3197233758358411,4.9538984499297865
24,66,0.25935628128717547,0.0233304610968772,0.17246723552336193,0.3197233758358411,4.8616852874544
25,80,0.2552281275717754,0.016491850232077932,0.21646652515382928,0.3197233758358411,4.945568392451853
26,70,0.2566668219223209,0.015151998525393954,0.22693808299348112,0.3197233758358411,4.942533023041433
27,66,0.2593267010825233,0.019453582848559813,0.22464649303198136,0.3197233758358411,4.877316089647325
28,66,0.2623007558224249,0.023367779787708966,0.2292618979084786,0.3197233758358411,4.799529948129735
29,70,0.26048422960155326,0.025953664046348635,0.1604140973141648,0.3197233758358411,4.738506379666131
30,62,0.26079942643881243,0.021397579003038996,0.2334059579631587,0.3197233758358411,4.849129780527589
31,81,0.2548176663430375,0.016689482651535414,0.23523656931498862,0.3197233758358411,4.750575060973795
32,73,0.2553985725176664,0.019560095134044383,0.20795907001333158,0.3197233758358411,4.873609856783994
33,65,0.2583892958976358,0.01703208135625578,0.2300392854749568,0.3197233758358411,4.90152385521471
34,77,0.256921202854927,0.018176618888108214,0.22280037354267745,0.3197233758358411,4.925595714552739
35,73,0.25634981665201734,0.01684774525468721,0.22759044408327586,0.3197233758358411,4.910553142963585
36,74,0.2556474679837357,0.021151241253353083,0.18916145683048946,0.3197233758358411,4.962815061695509
37,64,0.25925044690342447,0.02301756623192937,0.19468721049939103,0.3197233758358411,4.859091297726154
