gen,nevals,avg,std,min,max,diversity
0,50,0.2529906093852518,0.018279148093208335,0.22631416993471615,0.31500922586165764,2.0111065605362675
1,30,0.2580881066495155,0.019859870477811577,0.21943482233462966,0.31500922586165764,2.5497090209572737
2,29,0.26409946481173474,0.024263477240796028,0.2171944062665412,0.31500922586165764,2.751196970114325
3,31,0.2651113528890071,0.02081467650845255,0.23570423640352742,0.31500922586165764,2.818032632158433
4,28,0.26905709974314723,0.023855947321809946,0.232361965340499,0.31500922586165764,2.861188678327127
5,28,0.27057994606258867,0.02424096258644148,0.2249427433188052,0.31500922586165764,2.7715143690335595
6,33,0.2686549468856403,0.02452465053246216,0.22466325592382533,0.31500922586165764,2.661417385711341
7,33,0.2663512978496606,0.02294681497241207,0.22919374432060086,0.31500922586165764,2.7888838862063756
8,36,0.2659432025862878,0.02443007618878758,0.22661849103246304,0.31500922586165764,2.7988438495006904
9,21,0.26883322453658615,0.025414981915375213,0.21969809466632653,0.31500922586165764,2.873592821365062
10,15,0.27975292121199646,0.028185495610358494,0.22028692071730574,0.31500922586165764,2.899698604220396
11,34,0.27344726859220236,0.028963261139749927,0.228063165206723,0.31500922586165764,2.5614595335170756
12,34,0.2614182284334643,0.022980210812525367,0.22237208242456513,0.31500922586165764,2.759312633012705
13,24,0.2722323416976946,0.02481437639525233,0.22136688588479034,0.31500922586165764,2.741096391114991
14,32,0.2699228158070145,0.028400355108558206,0.22883092190757282,0.31500922586165764,2.599421018425892
